data_estimativa;data_pagamento;base_de_calculo;perc_transmitido;'finalidade_construcao';'logradouro';n_endereco;'n_unidade';'complemento_endereco';'bairro';cep;area_total_terreno;area_constr_total;area_constr_privativa;ano_construcao;'n_matricula_reg_imoveis';'n_zona_reg_imoveis';'situacao'
2024/06/20 00:00:00;;198000.00;100.00;'DEPÓSITO / ARMAZÉM / PRÉDIO INDUSTRIAL';'Rua MOREIRA DA SILVA';320;;;'SARANDI';91110360;250.00;60.00;60.00;;'54813';'4';'Lançada'
2024/06/20 00:00:00;;350000.00;100.00;;'Rua PASSOS FIGUEIROA';15;;;'SARANDI';91110500;230.00;;;;'55630';'4';'Lançada'
2024/06/20 00:00:00;;350000.00;100.00;;'Rua PASSOS FIGUEIROA';25;;;'SARANDI';91110500;230.00;;;;'55629';'4';'Lançada'
2024/07/04 00:00:00;;3097000.00;100.00;'RESIDENCIA ISOLADA';'Rua PROF EMILIO MEYER';166;'166';;'VILA CONCEICAO';91920740;2433.00;568.00;568.00;2010;'24603';'3';'Lançada'
2024/03/01 00:00:00;;4500000.00;100.00;'RESIDENCIA NAO PADRONIZ EM CONDOM HORIZONTAL FECHADO';'Avenida DA  CAVALHADA';5205;'69';;'CAVALHADA';91740001;0.00;900.00;800.00;1994;'8422';'3';'Lançada'
2024/07/04 00:00:00;;610000.00;100.00;'APARTAMENTO';'Rua ISIDORO TRESSI';163;'701';;'JARDIM BOTANICO';90690070;0.00;184.48;119.10;;'116441';'2';'Lançada'
2024/07/04 00:00:00;;45000.00;100.00;'ESPACO DE ESTACIONAMENTO RESIDENCIAL';'Rua ISIDORO TRESSI';163;'30';;'JARDIM BOTANICO';90690070;0.00;15.16;10.58;;'116481';'2';'Lançada'
2024/07/04 00:00:00;;45000.00;100.00;'ESPACO DE ESTACIONAMENTO RESIDENCIAL';'Rua ISIDORO TRESSI';163;'31';;'JARDIM BOTANICO';90690070;0.00;15.50;10.81;;'116482';'2';'Lançada'
2024/03/13 00:00:00;;1516000.00;100.00;'APARTAMENTO DE COBERTURA';'Rua VASCO DA GAMA';1301;'702';;'RIO BRANCO';90420111;0.00;379.01;311.48;1977;'29609';'1';'Lançada'
2024/03/13 00:00:00;;50000.00;100.00;'ESPACO DE ESTACIONAMENTO RESIDENCIAL';'Rua VASCO DA GAMA';1301;'1';;'RIO BRANCO';90420111;0.00;15.95;12.00;1977;'29610';'1';'Lançada'
2024/03/13 00:00:00;;50000.00;100.00;'ESPACO DE ESTACIONAMENTO RESIDENCIAL';'Rua VASCO DA GAMA';1301;'2';;'RIO BRANCO';90420111;0.00;15.95;12.00;1977;'29611';'1';'Lançada'
2024/03/19 00:00:00;;25000.00;50.00;'ESPACO DE ESTACIONAMENTO NAO RESIDENCIAL';'Rua QUINTINO BOCAIUVA';1035;'1';;'MOINHOS VENTO';90440051;0.00;16.20;12.00;1992;'112621';'1';'Lançada'
2024/03/19 00:00:00;;25000.00;50.00;'ESPACO DE ESTACIONAMENTO NAO RESIDENCIAL';'Rua QUINTINO BOCAIUVA';1035;'2';;'MOINHOS VENTO';90440051;0.00;16.20;12.00;1992;'112622';'1';'Lançada'
2024/03/19 00:00:00;;25000.00;50.00;'ESPACO DE ESTACIONAMENTO NAO RESIDENCIAL';'Rua QUINTINO BOCAIUVA';1035;'3';;'MOINHOS VENTO';90440051;0.00;16.20;12.00;1992;'112623';'1';'Lançada'
2024/03/19 00:00:00;;25000.00;50.00;'ESPACO DE ESTACIONAMENTO NAO RESIDENCIAL';'Rua QUINTINO BOCAIUVA';1035;'4';;'MOINHOS VENTO';90440051;0.00;13.80;12.00;1992;'112624';'1';'Lançada'
2024/03/19 00:00:00;;680000.00;50.00;'SALA COMERCIAL';'Rua QUINTINO BOCAIUVA';1035;'1035';;'MOINHOS VENTO';90440051;0.00;204.32;136.20;1992;'112625';'1';'Lançada'
