"'data_estimativa'";"data_pagamento";"base_de_calculo";"perc_transmitido";"'finalidade_construcao'";"'logradouro'";"n_endereco";"n_unidade";"'complemento_endereco'";"'bairro'";"cep";"area_total_terreno";"area_constr_total";"area_constr_privativa";"ano_construcao";"'n_matricula_reg_imoveis'";"'n_zona_reg_imoveis'";"'situacao'"
"'2015-01-22'";"2015-01-22 00:00:00";"460000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"375""";"";"'apto 403 edf luar do rosarinho'";"'Encruzilhada'";"";"798,91";"118,55";"118,55";"2007""";"''";"''";"'CONCLUIDO'"
"'2015-09-10'";"2015-09-10 00:00:00";"100000.00";"100.00";"'Apartamento <= 4 Pavimentos'";"'rua caio pereira'";"341""";"";"'apto 0302 edf cristal'";"'Encruzilhada'";"";"504,0";"156,45";"156,45";"1969""";"''";"''";"'CONCLUIDO'"
"'2015-09-01'";"2015-09-01 00:00:00";"280000.00";"100.00";"'Apartamento <= 4 Pavimentos'";"'rua caio pereira'";"341""";"";"'apto 0302 edf cristal'";"'Encruzilhada'";"";"504,0";"156,45";"156,45";"1969""";"''";"''";"'CONCLUIDO'"
"'2015-01-02'";"2015-01-02 00:00:00";"790000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"334""";"";"'apto 902 edf essenza rosarinho'";"'Encruzilhada'";"";"1737,63";"183,6";"183,6";"2011""";"''";"''";"'CONCLUIDO'"
"'2015-02-25'";"2015-02-25 00:00:00";"853000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"334""";"";"'apto 1402 edf essenza rosarinho'";"'Encruzilhada'";"";"1737,63";"183,6";"183,6";"2011""";"''";"''";"'CONCLUIDO'"
"'2015-09-14'";"2015-09-14 00:00:00";"950000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"334""";"";"'apto 1501 edf essenza rosarinho'";"'Encruzilhada'";"";"1737,63";"183,6";"183,6";"2011""";"''";"''";"'CONCLUIDO'"
"'2015-04-08'";"2015-04-08 00:00:00";"855000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"334""";"";"'apto 1602 edf essenza rosarinho'";"'Encruzilhada'";"";"1737,63";"183,6";"183,6";"2011""";"''";"''";"'CONCLUIDO'"
"'2015-02-04'";"2015-02-04 00:00:00";"810000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"334""";"";"'apto 1502 edf essenza rosarinho'";"'Encruzilhada'";"";"1737,63";"183,6";"183,6";"2011""";"''";"''";"'CONCLUIDO'"
"'2015-01-15'";"2015-01-15 00:00:00";"105120.58";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"334""";"";"'apto 302 edf essenza rosarinho'";"'Encruzilhada'";"";"1737,63";"183,6";"183,6";"2011""";"''";"''";"'CONCLUIDO'"
"'2015-11-20'";"2015-11-20 00:00:00";"810000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"334""";"";"'apto 401 edf essenza rosarinho'";"'Encruzilhada'";"";"1737,63";"183,6";"183,6";"2011""";"''";"''";"'CONCLUIDO'"
"'2015-03-04'";"2015-03-04 00:00:00";"839529.04";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"334""";"";"'apto 901 edf essenza rosarinho'";"'Encruzilhada'";"";"1737,63";"183,6";"183,6";"2011""";"''";"''";"'CONCLUIDO'"
"'2015-10-07'";"2015-10-07 00:00:00";"840000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"334""";"";"'apto 1101 edf essenza rosarinho'";"'Encruzilhada'";"";"1737,63";"183,6";"183,6";"2011""";"''";"''";"'CONCLUIDO'"
"'2015-02-26'";"2015-02-26 00:00:00";"700000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"390""";"";"'apto 801 edf acantis'";"'Encruzilhada'";"";"1147,48";"179,0";"179,0";"2005""";"''";"''";"'CONCLUIDO'"
"'2015-09-21'";"2015-09-21 00:00:00";"600000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"578""";"";"'apto 0602 edf praia de ceres'";"'Encruzilhada'";"";"861,0";"184,77";"184,77";"2002""";"''";"''";"'CONCLUIDO'"
"'2015-12-01'";"2015-12-01 00:00:00";"600000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"578""";"";"'apto 1001 edf praia de ceres'";"'Encruzilhada'";"";"861,0";"184,77";"184,77";"2002""";"''";"''";"'CONCLUIDO'"
"'2015-05-20'";"2015-05-20 00:00:00";"600000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"600""";"";"'apto 101 edf maria rosa'";"'Encruzilhada'";"";"2431,0";"139,58";"139,58";"2010""";"''";"''";"'CONCLUIDO'"
"'2015-01-02'";"2015-01-02 00:00:00";"540000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"600""";"";"'apto 401 edf maria rosa'";"'Encruzilhada'";"";"2431,0";"139,58";"139,58";"2010""";"''";"''";"'CONCLUIDO'"
"'2015-02-06'";"2015-02-06 00:00:00";"600000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"600""";"";"'apto 404 edf maria rosa'";"'Encruzilhada'";"";"2431,0";"139,58";"139,58";"2010""";"''";"''";"'CONCLUIDO'"
"'2015-06-17'";"2015-06-17 00:00:00";"600000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"600""";"";"'apto 601 edf maria rosa'";"'Encruzilhada'";"";"2431,0";"139,58";"139,58";"2010""";"''";"''";"'CONCLUIDO'"
"'2015-01-09'";"2015-01-09 00:00:00";"480000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"600""";"";"'apto 1401 edf maria rosa'";"'Encruzilhada'";"";"2431,0";"139,58";"139,58";"2010""";"''";"''";"'CONCLUIDO'"
"'2015-09-30'";"2015-09-30 00:00:00";"490000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"600""";"";"'apto 1703 edf maria rosa'";"'Encruzilhada'";"";"2431,0";"111,89";"111,89";"2010""";"''";"''";"'CONCLUIDO'"
"'2015-04-08'";"2015-04-08 00:00:00";"480000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"600""";"";"'apto 1802 edf maria rosa'";"'Encruzilhada'";"";"2431,0";"111,89";"111,89";"2010""";"''";"''";"'CONCLUIDO'"
"'2015-05-21'";"2015-05-21 00:00:00";"600000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"600""";"";"'apto 2001 edf maria rosa'";"'Encruzilhada'";"";"2431,0";"139,58";"139,58";"2010""";"''";"''";"'CONCLUIDO'"
"'2015-02-24'";"2015-02-24 00:00:00";"480000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"600""";"";"'apto 2303 edf maria rosa'";"'Encruzilhada'";"";"2431,0";"111,88";"111,88";"2010""";"''";"''";"'CONCLUIDO'"
"'2015-10-02'";"2015-10-02 00:00:00";"610000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"600""";"";"'apto 2701 edf maria rosa'";"'Encruzilhada'";"";"2431,0";"139,58";"139,58";"2010""";"''";"''";"'CONCLUIDO'"
"'2015-06-02'";"2015-06-02 00:00:00";"490000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"600""";"";"'apto 3002 edf maria rosa'";"'Encruzilhada'";"";"2431,0";"111,89";"111,89";"2010""";"''";"''";"'CONCLUIDO'"
"'2015-11-26'";"2015-11-26 00:00:00";"120000.00";"100.00";"'Loja <= 4 Pavimentos'";"'rua doutor jose maria'";"430""";"";"'loja 0007'";"'Encruzilhada'";"";"580,0";"19,0";"19,0";"1962""";"''";"''";"'CONCLUIDO'"
"'2015-11-26'";"2015-11-26 00:00:00";"120000.00";"100.00";"'Loja <= 4 Pavimentos'";"'rua doutor jose maria'";"430""";"";"'loja 0008'";"'Encruzilhada'";"";"580,0";"19,0";"19,0";"1962""";"''";"''";"'CONCLUIDO'"
"'2015-03-05'";"2015-03-05 00:00:00";"460000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua andre reboucas'";"118""";"";"'apto 0402 edf ana lopes'";"'Rosarinho'";"";"748,85";"144,15";"144,15";"1974""";"''";"''";"'CONCLUIDO'"
"'2015-02-25'";"2015-02-25 00:00:00";"300000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'av santos dumont'";"881""";"";"'apto 0202 edf ilha de cedros'";"'Rosarinho'";"";"1231,05";"97,88";"97,88";"1984""";"''";"''";"'CONCLUIDO'"
"'2015-04-08'";"2015-04-08 00:00:00";"262000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1204 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"59,93";"59,93";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-06-17'";"2015-06-17 00:00:00";"360000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 102 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"99,82";"99,82";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-08-24'";"2015-08-24 00:00:00";"222741.27";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 103 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"59,93";"59,93";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-10-08'";"2015-10-08 00:00:00";"232000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 104 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"59,93";"59,93";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-08-13'";"2015-08-13 00:00:00";"240000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 106 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"57,12";"57,12";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-08-10'";"2015-08-10 00:00:00";"253302.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 201 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"57,12";"57,12";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-07-27'";"2015-07-27 00:00:00";"250000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 203 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"59,93";"59,93";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-12-29'";"2015-12-29 00:00:00";"250000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 203 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"59,93";"59,93";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-05-22'";"2015-05-22 00:00:00";"250000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 204 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"59,93";"59,93";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-07-28'";"2015-07-28 00:00:00";"380000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 202 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"99,82";"99,82";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-08-24'";"2015-08-24 00:00:00";"359905.20";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 205 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"99,82";"99,82";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-05-25'";"2015-05-25 00:00:00";"245000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 206 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"57,12";"57,12";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-06-17'";"2015-06-17 00:00:00";"360000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 302 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"99,82";"99,82";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-07-10'";"2015-07-10 00:00:00";"357775.43";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 305 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"99,82";"99,82";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-11-10'";"2015-11-10 00:00:00";"250000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 601 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"57,12";"57,12";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-06-17'";"2015-06-17 00:00:00";"392128.58";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 602 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"99,82";"99,82";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-12-09'";"2015-12-09 00:00:00";"250000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 604 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"59,93";"59,93";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-05-21'";"2015-05-21 00:00:00";"250000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 606 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"57,12";"57,12";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-09-23'";"2015-09-23 00:00:00";"260000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 806 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"57,12";"57,12";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-08-07'";"2015-08-07 00:00:00";"274989.14";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 903 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"59,93";"59,93";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-06-17'";"2015-06-17 00:00:00";"398692.58";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 902 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"99,82";"99,82";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-06-15'";"2015-06-15 00:00:00";"255000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 904 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"59,93";"59,93";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-06-16'";"2015-06-16 00:00:00";"400000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 905 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"99,82";"99,82";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-07-06'";"2015-07-06 00:00:00";"400000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 905 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"99,82";"99,82";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-08-25'";"2015-08-25 00:00:00";"260000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1001 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"57,12";"57,12";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-05-25'";"2015-05-25 00:00:00";"265000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1004 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"59,93";"59,93";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-08-13'";"2015-08-13 00:00:00";"380000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1002 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"99,82";"99,82";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-05-25'";"2015-05-25 00:00:00";"265000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1003 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"59,93";"59,93";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-06-30'";"2015-06-30 00:00:00";"390000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1005 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"99,82";"99,82";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-06-15'";"2015-06-15 00:00:00";"255000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1006 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"57,12";"57,12";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-07-28'";"2015-07-28 00:00:00";"260000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1101 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"57,12";"57,12";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-10-05'";"2015-10-05 00:00:00";"420000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1102 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"99,82";"99,82";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-07-03'";"2015-07-03 00:00:00";"265000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1103 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"59,93";"59,93";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-06-19'";"2015-06-19 00:00:00";"400000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1205 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"99,82";"99,82";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-12-17'";"2015-12-17 00:00:00";"266840.35";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1301 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"57,12";"57,12";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-07-28'";"2015-07-28 00:00:00";"260000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1301 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"57,12";"57,12";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-07-13'";"2015-07-13 00:00:00";"265000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1303 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"59,93";"59,93";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-07-17'";"2015-07-17 00:00:00";"264897.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1304 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"59,93";"59,93";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-05-21'";"2015-05-21 00:00:00";"265000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1503 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"59,93";"59,93";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-09-14'";"2015-09-14 00:00:00";"10281.43";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1602 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"99,82";"99,82";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-06-01'";"2015-06-01 00:00:00";"410000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1602 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"99,82";"99,82";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-06-17'";"2015-06-17 00:00:00";"279600.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1603 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"59,93";"59,93";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-04-23'";"2015-04-23 00:00:00";"265000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1504 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"59,93";"59,93";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-07-29'";"2015-07-29 00:00:00";"260928.23";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1604 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"59,93";"59,93";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-11-25'";"2015-11-25 00:00:00";"280000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1803 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"59,93";"59,93";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-06-22'";"2015-06-22 00:00:00";"433225.71";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1805 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"99,82";"99,82";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-07-22'";"2015-07-22 00:00:00";"2666.67";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1805 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"99,82";"99,82";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-08-26'";"2015-08-26 00:00:00";"280000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1806 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"57,12";"57,12";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-09-30'";"2015-09-30 00:00:00";"280000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1806 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"57,12";"57,12";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-07-28'";"2015-07-28 00:00:00";"265000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1901 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"57,12";"57,12";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-08-25'";"2015-08-25 00:00:00";"397658.63";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1302 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"99,82";"99,82";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-09-24'";"2015-09-24 00:00:00";"250000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 501 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"57,12";"57,12";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-09-03'";"2015-09-03 00:00:00";"398419.80";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 605 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"99,82";"99,82";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-06-17'";"2015-06-17 00:00:00";"255000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 703 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"59,93";"59,93";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-07-27'";"2015-07-27 00:00:00";"239000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 706 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"57,12";"57,12";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-06-18'";"2015-06-18 00:00:00";"270000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 803 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"59,93";"59,93";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-09-21'";"2015-09-21 00:00:00";"430000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1202 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"99,82";"99,82";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-06-19'";"2015-06-19 00:00:00";"398452.83";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1305 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"99,82";"99,82";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-05-21'";"2015-05-21 00:00:00";"265000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1404 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"59,93";"59,93";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-08-25'";"2015-08-25 00:00:00";"279334.82";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1606 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"57,12";"57,12";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-09-03'";"2015-09-03 00:00:00";"457882.14";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1702 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"99,82";"99,82";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-09-30'";"2015-09-30 00:00:00";"435000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1705 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"99,82";"99,82";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-06-16'";"2015-06-16 00:00:00";"410000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1802 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"99,82";"99,82";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-07-06'";"2015-07-06 00:00:00";"255000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1801 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"57,12";"57,12";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-08-13'";"2015-08-13 00:00:00";"429598.96";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1902 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"99,82";"99,82";"2014""";"''";"''";"'CONCLUIDO'"
"'2015-05-18'";"2015-05-18 00:00:00";"265000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1903 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"59,93";"59,93";"2014""";"''";"''";"'CONCLUIDO'"
