data_estimativa;data_pagamento;base_de_calculo;perc_transmitido;'finalidade_construcao';'logradouro';n_endereco;'n_unidade';'complemento_endereco';'bairro';cep;area_total_terreno;area_constr_total;area_constr_privativa;ano_construcao;'n_matricula_reg_imoveis';'n_zona_reg_imoveis';'situacao'
2020/05/04 00:00:00;;90000.00;100.00;'ESPACO DE ESTACIONAMENTO RESIDENCIAL';'Rua QUINTINO BOCAIUVA';1505;'8';'DEP.01';'RIO BRANCO';90440051;0.00;33.23;25.15;2014;'183689';'1';'Lançada'
2020/05/05 00:00:00;;1090000.00;100.00;'APARTAMENTO';'Avenida NEUSA GOULART BRIZOLA';600;'305';'TORRE B';'BELA VISTA';90460230;0.00;193.71;123.54;2001;'142074';'1';'Lançada'
2020/05/04 00:00:00;;621000.00;100.00;'APARTAMENTO';'Rua QUINTINO BOCAIUVA';1505;'704';;'RIO BRANCO';90440051;0.00;106.91;74.38;2014;'183782';'1';'Lançada'
2020/07/14 00:00:00;;870000.00;100.00;'APARTAMENTO';'Rua MARQUES DO POMBAL';1405;'501';;'AUXILIADORA';90540001;0.00;227.01;145.23;2007;'115794';'1';'Lançada'
2020/07/14 00:00:00;;50000.00;100.00;'ESPACO DE ESTACIONAMENTO RESIDENCIAL';'Rua MARQUES DO POMBAL';1405;'30';;'AUXILIADORA';90540001;0.00;16.36;11.50;2007;'115838';'1';'Lançada'
2020/07/14 00:00:00;;50000.00;100.00;'ESPACO DE ESTACIONAMENTO RESIDENCIAL';'Rua MARQUES DO POMBAL';1405;'31';;'AUXILIADORA';90540001;0.00;24.56;16.70;2007;'115839';'1';'Lançada'
2020/07/13 00:00:00;;188000.00;100.00;'APARTAMENTO';'Rua DA  REPUBLICA';541;'321';;'CIDADE BAIXA';90050321;0.00;39.26;31.95;1978;'14204';'5';'Lançada'
2020/07/13 00:00:00;;441000.00;100.00;'APARTAMENTO';'Avenida OSVALDO ARANHA';540;'101';;'BOM FIM';90035191;0.00;91.90;58.49;2009;'179728';'1';'Lançada'
2020/07/13 00:00:00;;50000.00;100.00;'ESPACO DE ESTACIONAMENTO RESIDENCIAL';'Avenida OSVALDO ARANHA';540;'32';;'BOM FIM';90035191;0.00;14.51;10.58;2009;'179809';'1';'Lançada'
2020/07/14 00:00:00;;260000.00;100.00;'APARTAMENTO';'Avenida PANAMERICANA';321;'101';;'JARDIM LINDOIA';91050001;0.00;75.58;64.35;1968;'10509';'4';'Lançada'
2020/07/13 00:00:00;;435000.00;100.00;'UNIDADE (DE COMÉRCIO OU SERVIÇOS) DE  FRENTE NÃO ISOLADA';'Avenida TERESOPOLIS';3189;;;'TERESOPOLIS';90870001;0.00;136.10;136.10;1970;'105184';'2';'Lançada'
